Date,Close,Open,High,Low,Volume,Percent
2019/1/22,24404.48 ,24607.76 ,24607.76 ,24244.31 ,338.48M,-1.22%
2019/1/23,24575.62 ,24577.25 ,24700.98 ,24307.17 ,318.60M,0.70%
2019/1/24,24553.24 ,24579.96 ,24626.30 ,24422.73 ,320.17M,-0.09%
2019/1/25,24737.20 ,24687.21 ,24860.15 ,24676.75 ,376.89M,0.75%
2019/1/26,24737.20 ,24687.21 ,24860.15 ,24676.75 ,376.89M,0.75%
2019/1/27,24737.20 ,24687.21 ,24860.15 ,24676.75 ,376.89M,0.75%
2019/1/28,24528.22 ,24596.98 ,24596.98 ,24323.94 ,347.17M,-0.84%
2019/1/29,24579.96 ,24519.62 ,24674.87 ,24504.04 ,330.87M,0.21%
2019/1/30,25014.86 ,24826.52 ,25109.62 ,24790.90 ,397.33M,1.77%
2019/1/31,24999.67 ,24954.48 ,25049.62 ,24842.09 ,507.35M,-0.06%
2019/2/1,25063.89 ,25025.31 ,25193.15 ,24982.49 ,372.09M,0.26%
2019/2/2,25063.89 ,25025.31 ,25193.15 ,24982.49 ,372.09M,0.26%
2019/2/3,25063.89 ,25025.31 ,25193.15 ,24982.49 ,372.09M,0.26%
2019/2/4,25239.37 ,25062.12 ,25239.91 ,24977.67 ,298.54M,0.70%
2019/2/5,25411.52 ,25287.93 ,25427.32 ,25287.65 ,310.65M,0.68%
2019/2/6,25390.30 ,25371.57 ,25439.04 ,25312.06 ,247.59M,-0.08%
2019/2/7,25169.53 ,25265.81 ,25314.26 ,25000.52 ,295.46M,-0.87%
2019/2/8,25106.33 ,25042.36 ,25106.39 ,24883.04 ,248.21M,-0.25%
2019/2/9,25106.33 ,25042.36 ,25106.39 ,24883.04 ,248.21M,-0.25%
2019/2/10,25106.33 ,25042.36 ,25106.39 ,24883.04 ,248.21M,-0.25%
2019/2/11,25053.11 ,25142.81 ,25196.75 ,25009.10 ,241.70M,-0.21%
2019/2/12,25425.76 ,25152.03 ,25458.98 ,25152.03 ,278.11M,1.49%
2019/2/13,25543.27 ,25480.86 ,25625.95 ,25480.86 ,263.33M,0.46%
2019/2/14,25439.39 ,25460.65 ,25558.90 ,25308.09 ,313.01M,-0.41%
2019/2/15,25883.25 ,25564.63 ,25883.72 ,25564.63 ,328.53M,1.74%
2019/2/16,25883.25 ,25564.63 ,25883.72 ,25564.63 ,328.53M,1.74%
2019/2/17,25883.25 ,25564.63 ,25883.72 ,25564.63 ,328.53M,1.74%
2019/2/18,25883.25 ,25564.63 ,25883.72 ,25564.63 ,328.53M,1.74%
2019/2/19,25891.32 ,25849.85 ,25961.44 ,25820.01 ,280.62M,0.03%
2019/2/20,25954.44 ,25872.26 ,25986.20 ,25846.48 ,287.88M,0.24%
2019/2/21,25850.63 ,25922.41 ,25938.88 ,25762.21 ,255.71M,-0.40%
2019/2/22,26031.81 ,25906.27 ,26052.90 ,25906.27 ,279.76M,0.70%
